"agent_name";"Brokerage Firm";"Zip";"agent_sr_no";"conversion_rate";"total_properties";"properties_sold"
"Michael Taylor";"Real Point LLC";45224;1;19;48;9
"Linda Lee";"Real Point LLC";45224;2;30;47;14
"Jennifer Wilson";"Real Point LLC";45211;3;32;53;17
"John Lee";"Real Point LLC";45206;4;14;51;7
"James Davis";"Real Point LLC";45219;5;28;61;17
"Jennifer Johnson";"Real Point LLC";45203;6;14;42;6
"John Miller";"Real Point LLC";45226;7;14;64;9
"Robert Anderson";"Real Point LLC";45231;8;29;49;14
"Linda Wilson";"True Value LLC";45234;9;27;41;11
"Linda Miller";"True Value LLC";45210;10;27;51;14
"Patricia Lee";"True Value LLC";45223;11;26;58;15
"William Johnson";"True Value LLC";45228;12;22;41;9
"Elizabeth Johnson";"True Value LLC";45209;13;20;60;12
"Elizabeth Miller";"True Value LLC";45224;14;24;49;12
"Michael Johnson";"True Value LLC";45229;15;24;55;13
"John Taylor";"True Value LLC";45213;16;29;48;14
"Patricia Anderson";"True Value LLC";45206;17;26;58;15
"Patricia Taylor";"True Value LLC";45206;18;16;45;7
"Michael Anderson";"True Value LLC";45211;19;19;47;9
"John Thomas";"True Value LLC";45211;20;28;50;14
"Elizabeth Smith";"True Value LLC";45211;21;27;63;17
"Mary Miller";"True Value LLC";45211;22;25;59;15
"Elizabeth Davis";"High Value LLC";45207;23;24;45;11
"John Wilson";"High Value LLC";45223;24;27;49;13
"Robert Brown";"High Value LLC";45223;25;29;49;14
"Michael Davis";"High Value LLC";45223;26;29;56;16
"Michael Lee";"High Value LLC";45212;27;21;52;11
"Michael Brown";"High Value LLC";45212;28;24;50;12
"Michael Smith";"High Value LLC";45231;29;24;49;12
"Robert Davis";"High Value LLC";45215;30;24;38;9
"James Lee";"High Value LLC";45220;31;18;38;7
"Patricia Davis";"High Value LLC";45220;32;28;47;13
"James Anderson";"High Value LLC";45218;33;25;55;14
"Robert Smith";"High Value LLC";45233;34;20;51;10
"Linda Davis";"High Value LLC";45230;35;26;42;11
"James Smith";"High Value LLC";45217;36;27;49;13
"William Anderson";"High Value LLC";45227;37;33;46;15
"Elizabeth Anderson";"High Value LLC";45216;38;30;57;17
"Patricia Johnson";"High Value LLC";45222;39;14;50;7
"Jennifer Thomas";"High Value LLC";45202;40;22;55;12
"Linda Smith";"High Value LLC";45202;41;23;44;10
"Linda Thomas";"High Value LLC";45202;42;26;42;11
"Elizabeth Thomas";"Right Value LLC";45204;43;21;39;8
"John Davis";"Right Value LLC";45204;44;27;44;12
"James Brown";"Right Value LLC";45204;45;19;43;8
"John Smith";"Right Value LLC";45205;46;18;51;9
"Elizabeth Lee";"Right Value LLC";45214;47;19;59;11
"Elizabeth Wilson";"Right Value LLC";45214;48;36;61;22
"Patricia Brown";"Right Value LLC";45214;49;23;70;16
"James Johnson";"Right Value LLC";45214;50;20;55;11
"Patricia Miller";"Right Value LLC";45221;51;23;56;13
"Jennifer Davis";"Right Value LLC";45208;52;21;66;14
"James Taylor";"Right Value LLC";45232;53;27;41;11
"Michael Wilson";"Right Value LLC";45232;54;26;46;12
"William Miller";"Right Value LLC";45232;55;33;46;15
"Robert Wilson";"Right Value LLC";45232;56;22;49;11
"Michael Miller";"Right Value LLC";45232;57;22;46;10
"Mary Davis";"Right Value LLC";45232;58;29;41;12
"Patricia Thomas";"Right Value LLC";45232;59;16;55;9
"James Miller";"Right Value LLC";45210;60;29;48;14
"Linda Johnson";"Right Value LLC";45223;61;22;49;11
"Mary Brown";"Right Value LLC";45228;62;19;57;11
"William Thomas";"Right Value LLC";45229;63;25;40;10
"John Brown";"Right Value LLC";45213;64;13;45;6
"Linda Taylor";"Right Value LLC";45206;65;33;45;15
"Robert Johnson";"Right Value LLC";45219;66;27;56;15
"Jennifer Taylor";"Right Value LLC";45203;67;15;55;8
"Michael Thomas";"Right Value LLC";45207;68;18;40;7
"Mary Lee";"Right Value LLC";45207;69;24;41;10
"Elizabeth Taylor";"Right Value LLC";45207;70;24;55;13
"Patricia Wilson";"Right Value LLC";45207;71;26;53;14
"Jennifer Lee";"M&M Brokerage";45201;72;24;46;11
"Jennifer Smith";"M&M Brokerage";45225;73;25;57;14
